# Sample Event List

# The parser will skip empty lines, lines with whitespace only,
# or those that start with '#'.

# The format for DriverRequest events is:
# <timestamp> DriverRequest <driver id> <location> <speed>
# <location> is <row>,<col>
0 DriverRequest Amaranth 1,1 1
0 DriverRequest Bergamot 1,2 1
0 DriverRequest Crocus 3,1 1
0 DriverRequest Dahlia 3,2 1
0 DriverRequest Edelweiss 4,2 1
0 DriverRequest Foxglove 5,2 1

# The format for RiderRequest events is:
# <timestamp> RiderRequest <rider id> <origin> <destination> <patience>
# <origin>, <destination> are <row>,<col>

0 RiderRequest Almond 1,1 5,5 10
5 RiderRequest Bisque 3,2 2,3 5
10 RiderRequest Cerise 4,2 1,5 15
15 RiderRequest Desert 5,1 4,3 5
20 RiderRequest Eggshell 3,4 3,1 1
25 RiderRequest Fallow 2,1 2,5 10

10 RiderRequest Kiwi 3,1 5,3 6
11 RiderRequest Lavender 1,4 2,2 9
12 RiderRequest Maroon 4,3 3,4 4
13 RiderRequest Nutmeg 5,2 1,1 3
14 RiderRequest Olive 2,4 4,5 2
15 RiderRequest Peach 1,5 3,3 14
16 RiderRequest Quartz 2,3 2,4 7
17 RiderRequest Ruby 3,5 1,3 1
18 RiderRequest Sapphire 4,1 5,2 5
19 RiderRequest Teal 5,4 3,5 8


